iter	Passed	Remaining
0	222	222581
1	269	134481
2	303	100784
3	332	82685
4	359	71531
5	386	63982
6	415	58909
7	445	55299
8	476	52424
9	508	50343
10	532	47871
11	563	46372
12	594	45124
13	634	44672
14	674	44307
15	712	43843
16	745	43104
17	793	43295
18	831	42935
19	868	42541
20	897	41835
21	930	41349
22	976	41500
23	1009	41064
24	1026	40029
25	1059	39686
26	1091	39348
27	1121	38936
28	1151	38557
29	1180	38166
30	1212	37909
31	1246	37714
32	1276	37397
33	1307	37143
34	1330	36696
35	1351	36179
36	1381	35965
37	1404	35567
38	1434	35349
39	1453	34877
40	1484	34733
41	1512	34506
42	1539	34266
43	1552	33723
44	1578	33500
45	1595	33084
46	1623	32923
47	1651	32749
48	1678	32580
49	1706	32415
50	1733	32260
51	1763	32148
52	1797	32124
53	1838	32203
54	1856	31898
55	1885	31785
56	1913	31654
57	1941	31532
58	1970	31420
59	1987	31142
60	2014	31012
61	2042	30898
62	2069	30786
63	2096	30664
64	2113	30405
65	2135	30216
66	2165	30161
67	2193	30067
68	2221	29974
69	2250	29902
70	2280	29842
71	2290	29518
72	2320	29470
73	2349	29405
74	2376	29313
75	2404	29230
76	2420	29015
77	2449	28948
78	2466	28749
79	2486	28596
80	2513	28522
81	2541	28451
82	2569	28392
83	2597	28322
84	2624	28252
85	2651	28182
86	2673	28052
87	2700	27984
88	2732	27970
89	2762	27934
90	2791	27888
91	2822	27852
92	2841	27715
93	2872	27686
94	2901	27645
95	2933	27620
96	2963	27586
97	2992	27544
98	3020	27491
99	3049	27444
100	3076	27382
101	3094	27242
102	3127	27233
103	3156	27198
104	3183	27139
105	3210	27079
106	3239	27038
107	3266	26978
108	3294	26930
109	3322	26878
110	3330	26674
111	3356	26615
112	3383	26559
113	3411	26514
114	3439	26467
115	3469	26439
116	3478	26254
117	3491	26097
118	3518	26050
119	3549	26026
120	3577	25986
121	3606	25953
122	3633	25906
123	3660	25861
124	3689	25828
125	3721	25814
126	3731	25649
127	3761	25624
128	3790	25594
129	3821	25576
130	3853	25562
131	3883	25540
132	3916	25531
133	3925	25371
134	3956	25353
135	3987	25335
136	4017	25309
137	4044	25263
138	4072	25224
139	4099	25182
140	4128	25151
141	4155	25107
142	4183	25069
143	4209	25025
144	4236	24979
145	4264	24943
146	4290	24898
147	4317	24853
148	4345	24816
149	4373	24783
150	4404	24765
151	4434	24740
152	4464	24712
153	4494	24688
154	4524	24664
155	4555	24646
156	4586	24628
157	4617	24606
158	4647	24581
159	4681	24575
160	4711	24550
161	4741	24529
162	4768	24485
163	4794	24441
164	4822	24406
165	4850	24369
166	4876	24326
167	4904	24286
168	4931	24247
169	4959	24215
170	4987	24176
171	5014	24138
172	5041	24098
173	5067	24058
174	5096	24024
175	5123	23985
176	5150	23946
177	5176	23906
178	5203	23867
179	5232	23835
180	5259	23797
181	5285	23755
182	5312	23719
183	5339	23678
184	5367	23645
185	5394	23607
186	5421	23569
187	5448	23531
188	5475	23494
189	5503	23462
190	5530	23425
191	5558	23391
192	5586	23358
193	5613	23320
194	5641	23291
195	5668	23253
196	5695	23214
197	5722	23178
198	5748	23139
199	5777	23109
200	5804	23073
201	5842	23080
202	5880	23087
203	5910	23061
204	5938	23029
205	5966	22995
206	5993	22959
207	6019	22922
208	6046	22885
209	6074	22850
210	6101	22815
211	6128	22778
212	6154	22741
213	6183	22709
214	6211	22679
215	6242	22658
216	6268	22619
217	6295	22582
218	6322	22547
219	6351	22518
220	6381	22492
221	6410	22466
222	6440	22440
223	6470	22416
224	6501	22395
225	6532	22370
226	6560	22342
227	6591	22318
228	6623	22301
229	6656	22286
230	6687	22262
231	6715	22231
232	6742	22195
233	6771	22165
234	6798	22130
235	6824	22093
236	6851	22057
237	6878	22021
238	6906	21991
239	6933	21956
240	6962	21926
241	6992	21903
242	7022	21877
243	7053	21853
244	7083	21828
245	7114	21805
246	7142	21774
247	7170	21743
248	7202	21722
249	7229	21687
250	7256	21655
251	7284	21622
252	7315	21599
253	7346	21575
254	7374	21543
255	7401	21510
256	7428	21474
257	7457	21448
258	7488	21423
259	7519	21400
260	7549	21374
261	7583	21361
262	7611	21329
263	7638	21294
264	7665	21259
265	7692	21225
266	7719	21193
267	7746	21157
268	7772	21122
269	7799	21087
270	7826	21053
271	7855	21023
272	7881	20989
273	7908	20954
274	7935	20920
275	7962	20888
276	7989	20854
277	8017	20822
278	8043	20786
279	8070	20753
280	8096	20717
281	8124	20685
282	8151	20653
283	8178	20619
284	8206	20588
285	8233	20554
286	8259	20520
287	8288	20490
288	8315	20458
289	8343	20426
290	8370	20393
291	8397	20361
292	8426	20331
293	8452	20298
294	8479	20264
295	8506	20230
296	8533	20198
297	8561	20168
298	8589	20137
299	8616	20105
300	8650	20087
301	8705	20120
302	8745	20117
303	8773	20085
304	8800	20052
305	8828	20022
306	8855	19989
307	8882	19956
308	8909	19924
309	8936	19890
310	8965	19861
311	8993	19831
312	9020	19798
313	9047	19766
314	9074	19732
315	9102	19702
316	9129	19671
317	9156	19638
318	9184	19606
319	9211	19573
320	9237	19540
321	9265	19508
322	9292	19476
323	9319	19443
324	9346	19411
325	9372	19377
326	9401	19349
327	9428	19317
328	9455	19283
329	9484	19255
330	9511	19224
331	9539	19194
332	9567	19163
333	9595	19132
334	9626	19108
335	9657	19084
336	9687	19058
337	9717	19032
338	9747	19005
339	9777	18980
340	9810	18959
341	9841	18933
342	9871	18907
343	9903	18885
344	9939	18870
345	9975	18854
346	10009	18836
347	10044	18818
348	10081	18805
349	10114	18784
350	10144	18757
351	10170	18723
352	10198	18691
353	10226	18661
354	10253	18629
355	10281	18598
356	10307	18565
357	10335	18533
358	10362	18501
359	10389	18470
360	10417	18439
361	10443	18406
362	10471	18375
363	10500	18346
364	10526	18314
365	10553	18281
366	10580	18250
367	10608	18218
368	10637	18189
369	10664	18158
370	10691	18126
371	10720	18097
372	10750	18070
373	10783	18049
374	10810	18017
375	10837	17985
376	10864	17954
377	10895	17928
378	10926	17902
379	10956	17877
380	10987	17850
381	11017	17824
382	11048	17798
383	11075	17766
384	11102	17734
385	11128	17702
386	11155	17670
387	11187	17645
388	11217	17618
389	11244	17587
390	11274	17560
391	11305	17534
392	11336	17509
393	11365	17481
394	11394	17451
395	11420	17419
396	11447	17387
397	11476	17359
398	11504	17328
399	11531	17297
400	11559	17267
401	11594	17247
402	11623	17219
403	11651	17189
404	11679	17158
405	11706	17126
406	11733	17095
407	11760	17064
408	11787	17033
409	11816	17004
410	11846	16977
411	11878	16952
412	11907	16924
413	11937	16897
414	11968	16870
415	11998	16843
416	12030	16819
417	12059	16791
418	12090	16765
419	12118	16735
420	12145	16704
421	12174	16674
422	12202	16644
423	12228	16612
424	12255	16581
425	12282	16549
426	12310	16519
427	12337	16488
428	12364	16457
429	12393	16428
430	12420	16397
431	12450	16369
432	12477	16338
433	12504	16307
434	12530	16275
435	12557	16244
436	12586	16215
437	12617	16189
438	12647	16162
439	12677	16135
440	12709	16110
441	12741	16085
442	12771	16057
443	12801	16030
444	12833	16006
445	12864	15979
446	12895	15954
447	12924	15924
448	12952	15894
449	12978	15862
450	13007	15834
451	13034	15802
452	13061	15772
453	13089	15741
454	13117	15712
455	13145	15682
456	13172	15651
457	13199	15620
458	13226	15589
459	13253	15558
460	13282	15529
461	13308	15498
462	13336	15467
463	13363	15436
464	13389	15405
465	13417	15375
